Student ID,Age,Gender,Home Region,Home City,Program ID,Program Main Category Code,Program Sub Category Code,Technology Type,Program Skill Level,Program Presentation Method,Program Start Date,Program End Date,Program Days,Completed Degree,Level of Education,Education Speaciality,College,University Degree Score,University Degree Score System,Employment Status,Job Type,Still Working,Y
4f14c50d-162e-4a15-9cf0-ec129c33bcf0,37.0,ذكر,منطقة الرياض,الرياض,453686d8-4023-4506-b2df-fac8b059ac26,PCRF,PCRF,,,حضوري,2023-05-28,2023-06-08,12,نعم,البكالوريوس,هندسة حاسب الالي,,2.44,4.0,غير موظف,,,0
0599d409-876b-41a5-af05-749ef0e77d32,21.0,ذكر,منطقة عسير,خميس مشيط,cc8e4e42-65d5-4fa1-82f9-6c6c2d508b60,APMR,SWPS,,متوسط,حضوري,2023-04-02,2023-04-06,5,نعم,البكالوريوس,الإذاعة والتلفزيون والفيلم,الفنون والعلوم الإنسانية,5.0,5.0,طالب,,,0
38a11c0e-4afc-4261-9c64-e94cc0a272fb,24.0,ذكر,منطقة الرياض,الرياض,e006900d-05a9-4c2b-a36f-0ffb9fce44cd,APMR,,,متوسط,حضوري,2023-07-23,2023-09-14,54,نعم,البكالوريوس,Information Technology,,3.5,5.0,موظف,,,0
1693e85b-f80e-40ce-846f-395ddcece6d3,23.0,ذكر,منطقة الرياض,الرياض,2ec15f6b-233b-428a-b9f5-e40bc8d14cf9,TOSL,TOSL,,,حضوري,2023-07-23,2023-08-24,33,نعم,البكالوريوس,حوسبة تطبيقية - (مسار شبكات الحاسب),,3.55,5.0,خريج,,,0
98a0e8d0-5f80-4634-afd8-322aa0902863,23.0,ذكر,منطقة الرياض,الرياض,d32da0e9-1aed-48c3-992d-a22f9ccc741e,CAUF,SWPS,تقليدية,متوسط,حضوري,2023-04-30,2023-06-22,54,لا,البكالوريوس,نظم المعلومات الحاسوبية,تكنولوجيا الاتصالات والمعلومات,4.0,5.0,,,,0
6b27cd77-23aa-438b-bd0b-7abdb40a717c,30.0,ذكر,منطقة الرياض,الرياض,32bce2ad-426a-4096-b7d0-78b5f30bd8a0,ABIR,INFA,ناشئة,مبتدئ,حضوري,2023-05-14,2023-05-25,12,نعم,البكالوريوس,هندسة حاسب آلي,,4.07,5.0,موظف,,,0
3c34ef05-7a14-4ed2-a50a-910acaa97006,30.0,أنثى,منطقة الرياض,الرياض,1b546d80-2ed0-42e6-9867-61b3d2f92d50,GRST,INFA,,متوسط,حضوري,2023-08-13,2023-08-17,5,نعم,البكالوريوس,نظم معلومات,,4.0,5.0,موظف,,,0
85ec0b08-cf03-47d2-a10e-5e9cccf534c3,23.0,أنثى,المنطقة الشرقية,حفر الباطن,46e7d55e-f11d-47c3-8310-a907c1584671,ABIR,,تقليدية,مبتدئ,عن بعد,2022-07-03,2022-07-07,5,نعم,البكالوريوس,علوم وهندسة الحاسب الآلي,,3.64,4.0,خريج,,,0
fb35317b-1e3e-492b-8ac1-119cb60c567b,27.0,أنثى,منطقة مكة المكرمة,جدة,774699c7-15e8-484e-9045-efe5905866aa,APMR,SRTA,,متوسط,عن بعد,2022-11-06,2022-11-10,5,نعم,البكالوريوس,نظم المعلومات,تكنولوجيا الاتصالات والمعلومات,3.0,5.0,,,,0
621c5334-db96-460e-982c-5f7c385b31b1,20.0,ذكر,منطقة نجران,نجران,04df155c-2eef-496e-b38e-30283b56249c,PCRF,PCRF,تقليدية,مبتدئ,عن بعد,2023-12-31,2024-01-18,19,لا,البكالوريوس,علوم الحاسبات,تكنولوجيا الاتصالات والمعلومات,2.0,5.0,موظف - طالب,دوام كامل,Yes,1
c51bfda7-f18f-40ba-9063-ffdddd5cb665,38.0,أنثى,منطقة الرياض,الرياض,0a9be3dd-a359-4afb-8cd6-0a94a04f70d4,APMR,SRTA,,,حضوري,2023-12-03,2023-12-28,26,نعم,الماجستير,نظم المعلومات,تكنولوجيا الاتصالات والمعلومات,4.0,5.0,موظف,دوام كامل,Yes,0
0c5b3ca4-055d-4a0d-b799-90e6f269ce71,23.0,أنثى,منطقة مكة المكرمة,مكة المكرمة,786daedd-7fb3-4c4f-9c24-e19768b39ece,APMR,,,متوسط,حضوري,2023-01-08,2023-03-07,59,نعم,البكالوريوس,علوم حاسب الي,,3.83,4.0,خريج,,,0
314850c4-036b-4773-a3c8-f34694ff79f2,29.0,ذكر,منطقة الرياض,الرياض,9a48a693-5c44-4c91-9443-417178621789,PCRF,PCRF,,,حضوري,2023-03-19,2023-03-23,5,لا,البكالوريوس,تقنية المعلومات,تكنولوجيا الاتصالات والمعلومات,3.0,4.0,,,,1
5eb1e4cc-ea04-4675-a0bc-37f7aec93ddd,27.0,ذكر,منطقة مكة المكرمة,جدة,ec39b045-a8a4-4ae6-bc4b-c108c9562904,PCRF,PCRF,تقليدية,متوسط,حضوري,2022-11-20,2022-12-01,12,نعم,البكالوريوس,علوم الحاسبات,تكنولوجيا الاتصالات والمعلومات,3.64,5.0,غير موظف,دوام كامل,No,0
5cb31f2b-7b35-482c-b505-4966418b4b65,24.0,أنثى,منطقة الرياض,الرياض,0d12d5ef-7965-4a0d-a18c-7cc826c4f971,APMR,SRTA,داعمة,مبتدئ,حضوري,2022-11-27,2022-12-01,5,لا,البكالوريوس,علوم الحاسبات,تكنولوجيا الاتصالات والمعلومات,4.0,5.0,غير موظف,دوام كامل,No,0
7a3f6f28-c0ff-465c-b2db-a5aaa6aa93e6,23.0,أنثى,منطقة الرياض,الرياض,ab263106-20a8-42aa-9626-278e62ae3a49,CAUF,SWPS,تقليدية,متقدم,حضوري,2023-09-03,2023-09-14,12,نعم,البكالوريوس,Software Engineering,,4.6,5.0,خريج,,,0
1bc738df-243f-4bc8-a62a-525e831a26c6,24.0,ذكر,منطقة مكة المكرمة,جدة,ee1206d8-ea7a-492e-af9d-24d6f4039e18,PCRF,PCRF,ناشئة,مبتدئ,عن بعد,2023-04-02,2023-04-06,5,نعم,البكالوريوس,تقنية المعلومات,تكنولوجيا الاتصالات والمعلومات,3.81,5.0,موظف,دوام كامل,Yes,0
d454af94-e89d-42fb-b738-c26f0d11b05c,34.0,ذكر,منطقة الرياض,الرياض,321e4dc8-c3c4-4173-bca5-59a0bd9f327c,PCRF,PCRF,تقليدية,متوسط,حضوري,2023-01-08,2023-01-19,12,نعم,البكالوريوس,Computer Networking and Cyber security,,2.85,4.0,موظف,,,0
742dd348-86d9-4e37-b73b-7bab375eeea4,43.0,ذكر,منطقة الرياض,الرياض,3218820e-5fc3-4dcb-8c23-17ac8de5e4b0,GRST,INFA,تقليدية,متوسط,حضوري,2022-12-25,2022-12-29,5,نعم,البكالوريوس,الجغرافيا البشرية,العلوم الاجتماعية والصحافة والإعلام,2.48,5.0,موظف,دوام كامل,Yes,0
d1ae2240-2cbd-4cee-a94a-5a40c54f9717,21.0,أنثى,منطقة الرياض,الرياض,e6be9f1a-dffa-4662-a7d2-74a6e12ad4b2,CAUF,SWPS,داعمة,مبتدئ,حضوري,2022-11-06,2022-11-17,12,نعم,ثانوي,علوم وهندسة الحاسب - ذكاء اصطناعي,,4.31,5.0,طالب,,,0
b8a19194-3be3-44ea-ade2-82670fff0039,24.0,ذكر,منطقة الرياض,الرياض,b46e3916-0e78-4c75-bc42-48d7e1168e27,PCRF,PCRF,,,حضوري,2023-08-20,2023-09-07,19,نعم,البكالوريوس,علوم الحاسبات,تكنولوجيا الاتصالات والمعلومات,3.0,5.0,موظف,دوام كامل,Yes,0
